,V0,X,Y,FFID,Elevation
5648,1.3846153846153846,376861.97,6347663.22,22655118,108.2
5649,1.2,376770.51,6348559.36,22835119,108.1
5650,1.6363636363636365,376911.26,6347671.02,22655119,108.4
5651,1.2857142857142858,376721.13,6348551.56,22835118,109.1
5652,1.2857142857142858,376671.75,6348543.77,22835117,109.8
5653,1.5,376622.47,6348535.97,22835116,110.3
5654,1.2857142857142858,376573.09,6348528.17,22835115,110.8
5655,1.125,376619.77,6348231.99,22775115,105.1
5656,1.2,376669.05,6348239.79,22775116,105.1
5657,1.5,376960.74,6347678.91,22655120,108.5
5658,1.125,376718.43,6348247.68,22775117,105.0
5659,0.9,376162.95,6352714.1,23675120,119.7
5660,1.2857142857142858,376767.81,6348255.48,22775118,104.6
5661,1.0588235294117647,376113.67,6352706.3,23675119,119.9
5662,1.5,376817.39,6348263.28,22775119,104.2
5663,1.0,376921.55,6347925.81,22705120,106.4
5664,1.6363636363636365,376866.57,6348271.08,22775120,103.8
5665,1.3846153846153846,376064.39,6352698.5,23675118,120.2
5666,1.2857142857142858,376015.01,6352690.71,23675117,122.0
5667,1.2857142857142858,375965.53,6352682.81,23675116,122.7
5668,1.2,375916.75,6352675.11,23675115,122.9
5669,0.9473684210526316,376863.87,6347967.5,22715119,107.3
5670,1.0588235294117647,376814.39,6347959.6,22715118,106.9
5671,1.21875,376765.41,6347951.9,22715117,105.1
5672,1.3846153846153846,375962.93,6352378.83,23615115,123.0
5673,1.2857142857142858,376012.02,6352386.53,23615116,122.9
5674,1.5,376061.6,6352394.43,23615117,122.5
5675,1.3846153846153846,376111.18,6352402.22,23615118,121.8
5676,1.5,376160.46,6352410.02,23615119,121.5
5677,1.3846153846153846,376209.44,6352417.72,23615120,121.4
5678,1.5,376692.54,6348091.95,22745116,103.8
5679,1.2,376256.82,6352121.63,23555120,120.0
5680,1.125,376643.56,6348083.85,22745115,103.9
5681,1.3846153846153846,376207.64,6352113.84,23555119,120.2
5682,1.2857142857142858,376157.66,6352105.94,23555118,121.1
5683,1.125,376109.08,6352098.24,23555117,121.6
